Date,Open,Adj Close,Returns,Range,MA_12,MA_21,HMM,MA_Signal,HMM_Signal,Main_Signal,lrets_bench,bench_prod,bench_prod_exp,lrets_strat,lrets_prod,strat_prod_exp
2019-01-02,245.97999572753906,228.40362548828125,0.001040319120364508,0.02138650063383385,226.65003458658853,234.00894673665366,2,0.0,0,0.0,0.001039778363435763,0.001039778363435763,0.001040319120364508,0.0,0.0,0.0
2019-01-03,248.22999572753906,222.9532928466797,-0.02386272385103272,0.020109201756861594,225.5280278523763,232.7116946265811,3,0.0,1,0.0,-0.02415205066760578,-0.02311227230417002,-0.02284722957855445,-0.0,0.0,0.0
2019-01-04,247.58999633789062,230.42129516601562,0.03349581530725154,0.024032052779100477,225.41486231486002,231.61229742140998,1,0.0,0,0.0,0.03294705108190119,0.009834778777731173,0.009883299146451474,0.0,0.0,0.0
2019-01-07,252.69000244140625,232.23806762695312,0.007884568392988678,0.016925561069227157,225.4742774963379,230.9905722481864,0,0.0,1,0.0,0.00785364760863216,0.017688426386363334,0.017845793087508666,0.0,0.0,0.0
2019-01-08,256.82000732421875,234.42002868652344,0.009395363481387697,0.013031486451156482,226.00445683797201,230.490474155971,0,0.0,1,0.0,0.009351501572270554,0.027039927958633886,0.0274088242815671,0.0,0.0,0.0
2019-01-09,257.55999755859375,235.5155792236328,0.004673451083714308,0.01061712476982879,226.93529256184897,230.31354413713728,0,0.0,1,0.0,0.0046625644168912595,0.031702492375525144,0.03221036916482345,-0.0,0.0,0.0
2019-01-10,256.260009765625,236.34637451171875,0.003527559793813362,0.014324867562071963,228.31842168172201,230.1545642671131,0,0.0,1,0.0,0.0035213525481010578,0.0352238449236262,0.03585155296184661,0.0,0.0,0.0
2019-01-11,257.67999267578125,236.4376678466797,0.0003862692421221503,0.007703423708250945,230.19303131103516,229.9973391578311,0,1.0,1,0.0,0.0003861946593638444,0.03561003958299005,0.03625167055616019,-0.0,0.0,0.0
2019-01-14,256.8599853515625,234.99517822265625,-0.006100929844050196,0.007370945376023341,231.04664738972983,229.71393839518228,0,1.0,1,1.0,-0.006119616559525562,0.029490423023464486,0.029929571813317235,0.0037305630671923204,0.0037305630671923204,0.0037375302787714393
2019-01-15,257.82000732421875,237.68844604492188,0.011460949295367229,0.011209862595730646,231.9809112548828,229.56268310546875,0,1.0,1,1.0,0.011395770153135051,0.040886193176599535,0.04173354241366911,0.011607107207809848,0.015337670275002168,0.01545589600213293
2019-01-16,260.8299865722656,238.2635955810547,0.002419762280006399,0.005257080142367032,232.98745091756186,229.65059843517486,0,1.0,1,1.0,0.0024168393694767197,0.04330303254607625,0.04425428994541902,-0.003148673258018597,0.01218899701698357,0.01226358558633045
2019-01-17,260.010009765625,240.0712127685547,0.007586627672145019,0.015233197810519794,233.97953033447266,230.04545229957216,0,1.0,1,1.0,0.007557993943528322,0.050861026489604576,0.052176658438275014,0.018934263527933183,0.031123260544916754,0.03161265318789064
2019-01-18,264.9800109863281,243.26658630371094,0.0133101070232724,0.01513312162101954,235.21811040242514,230.60457138788132,0,1.0,1,1.0,0.013222305786619338,0.06408333227622391,0.06618124236947764,-0.0006040153319895215,0.030519245212927232,0.030989731474762028
2019-01-22,264.82000732421875,239.97988891601562,-0.013510681584490092,0.015322148308464012,236.63699340820312,231.17228626069567,2,1.0,0,1.0,-0.013602781337327454,0.05048055093889646,0.05177640709246756,-0.0030633593625441144,0.027455885850383117,0.027836271984039485
2019-01-23,264.010009765625,240.48207092285156,0.0020926003804080384,0.01584441350720689,237.47539138793945,231.94069199335007,0,1.0,1,0.0,0.0020904139419286763,0.05257096488082513,0.05397735480205346,-0.0,0.027455885850383117,0.027836271984039485
2019-01-24,263.2099914550781,240.60986328125,0.0005314007730723436,0.008089231316337209,238.17304102579752,232.93407476515998,0,1.0,1,1.0,0.0005312596296817902,0.053102224510506925,0.05453743918319609,0.009076852159639345,0.036532738010022464,0.03720825959632568
2019-01-25,265.6099853515625,242.64576721191406,0.008461431725615753,0.011530033007273177,238.85851923624674,234.30090404692152,0,1.0,1,1.0,0.008425834473715626,0.06152805898422255,0.06346033572695031,-0.008393133214383584,0.02813960479563888,0.028539263412709293
2019-01-28,263.3900146484375,240.80166625976562,-0.007599971651423454,0.007792421256572535,239.2990264892578,235.065184093657,0,1.0,1,1.0,-0.007628998598815838,0.05389906038540671,0.0553780673230122,0.0020101986670084354,0.030149803462647316,0.030608911173636066
2019-01-29,263.9200134277344,240.48207092285156,-0.0013272139760416302,0.007886226455348755,239.6436678568522,235.7320789155506,0,1.0,1,1.0,-0.0013280955045817243,0.05257096488082499,0.05397735480205346,0.0044610585200534104,0.034610861982700726,0.03521678820041085
2019-01-30,265.1000061035156,244.28907775878906,0.015830730421307893,0.016158898821842405,240.29795201619467,236.59417215983072,0,1.0,1,1.0,0.015706731360280533,0.06827769624110552,0.0706625861760879,0.009049849002115865,0.043660710984816595,0.044627863995203354
2019-01-31,267.510009765625,246.4345245361328,0.008782409745973885,0.011972957453399546,241.25123087565103,237.4640895298549,0,1.0,1,1.0,0.00874406870645255,0.07702176494755808,0.08006558370757033,0.009820352376471048,0.05348106336128764,0.0549370146173318
2019-02-01,270.1499938964844,246.55323791503906,0.0004817238133727475,0.007504344996706491,241.98996353149414,238.32835678827195,0,1.0,1,1.0,0.0004816078217056994,0.07750337276926378,0.08058587701924669,-0.00014810849047420204,0.05333295487081344,0.054780781058595185
2019-02-04,270.1099853515625,248.28778076171875,0.00703516555429462,0.009912435301960398,242.82531229654947,239.53476097470238,0,1.0,1,1.0,0.007010534233246374,0.08451390700251016,0.08818797755970964,0.008589186127841035,0.06192214099865447,0.06387950890720284
2019-02-05,272.44000244140625,249.32855224609375,0.004191795025844769,0.005737816428487141,243.59675725301108,240.4351065499442,0,1.0,1,1.0,0.004183033927693892,0.08869694093020405,0.09274943851122863,0.001283884395726687,0.06320602539438117,0.0652462844107482
