,base_asset,compare_asset,label,hedge_ratio,p_value
0,AAXJ,AIA,0,1.106910550733339,0.026421885065613
233,FTXH,RDVY,0,0.5883622238231649,0.0255082629719055
232,FTXH,QQXT,0,0.3337954279832507,0.004174283875863853
231,FTXH,QQQE,0,0.3604288431343822,0.01348142756602517
230,FTXH,QQEW,0,0.25826012913370766,0.014301558934897915
229,FTXH,PTNQ,0,0.471326500946459,0.006286393788742407
228,FTXH,PSET,0,0.49493555328366173,0.02447714872786752
227,FTXH,PSCC,0,0.7941290019547008,0.0010039805563266536
226,FTXH,ONEQ,0,0.5061868797360858,0.045793657562943436
225,FTXH,NXTG,0,0.3817403947409757,0.02300317302554583
224,FTXH,KRMA,0,0.8744333433506237,0.028221608320969545
223,FTXH,FVC,0,0.7794871634371948,0.02068321617948069
222,FTXH,FV,0,0.5750306368873576,0.000709955612030912
220,FTRI,PSCC,0,0.3520861860094285,0.010187569975511625
219,FTRI,PEY,0,0.6307436378621185,0.020916741181481253
218,FTRI,LVHD,0,0.33776153945119924,0.040519451236483345
217,FTRI,FVC,0,0.34465749649417377,0.044825272800430145
216,FTRI,FTXH,0,0.4401242225952832,0.02581130435604155
234,FTXH,RTH,0,0.15606248966621175,0.004932198700613807
215,FTRI,FTXG,0,0.48248123171300283,0.004587757310076679
235,FTXH,SNSR,0,0.8373399115840457,0.025726958346334088
237,FTXR,FYC,0,0.46562223339945225,0.02455759804837817
254,FV,RDVY,0,1.0247302874163213,0.0032614563903672978
253,FV,PSET,0,0.8617396811172564,0.03330377482478521
252,FV,PSCC,0,1.3674950462065487,0.030023883364770333
251,FV,PPH,0,0.5966850409124173,0.041058798682825894
250,FV,PKW,0,0.5265619922681899,0.02489762105451933
249,FV,PFM,0,1.2594738241590824,0.018650865480757964
248,FV,KRMA,0,1.5176257250335554,0.03413943747556489
247,FV,INDY,0,1.0142244141408996,0.019085100346780938
246,FTXR,VXUS,0,0.5070003113136551,0.025324628576469266
245,FTXR,VTWV,0,0.22772229408820377,0.040134428161260685
244,FTXR,VTWO,0,0.37137549914818396,0.03495937073140363
243,FTXR,PSL,0,0.332380563476195,0.04851040435938873
242,FTXR,PSC,0,0.6941086088985722,0.03795654282067621
241,FTXR,PRFZ,0,0.8580897945383072,0.04872415076854654
240,FTXR,IXUS,0,0.4505209844924317,0.028199098777119687
239,FTXR,IPKW,0,0.811183817705244,0.0073666116702896505
238,FTXR,INDY,0,0.6529182530237276,0.03348853394572883
236,FTXH,SRET,0,0.9504764456333633,0.04318401672412331
214,FTCS,RTH,0,0.43755704289460956,0.014772427961875575
213,FTCS,FV,0,1.6074999541432584,0.0018912167120541854
212,FTCS,FTXH,0,2.758021745587003,0.018094761998740185
188,FID,SMCP,0,0.5464848106838555,0.0077671312090994
187,FID,QVAL,0,0.4518410198952394,0.04214344018568935
186,FID,PSCF,0,0.30638590506013896,0.04813580920306506
185,FID,PSC,0,0.37884456663119953,0.015049035533608805
184,FID,PRN,0,0.1529238594503717,0.026134440966795326
183,FID,PRFZ,0,0.468836331406463,0.01386168985358092
182,FID,PKW,0,0.18315909933704913,0.04006570305413538
181,FID,PFI,0,0.35375885866684703,0.01335607187347908
180,FID,ONEQ,0,0.30418027933052894,0.04326029666651211
358,VIGI,VTWO,0,0.9594031567273981,0.030810488414766204
178,FID,KBWD,0,1.1170251960002846,0.029589127750350712
177,FID,IUSG,0,0.16507818197375776,0.03843231572476548
176,FID,IPKW,0,0.44500776036338163,0.03299255833809797
175,FID,INDY,0,0.35759427624774776,0.02208310949504589
174,FID,IJT,0,0.13457553591940238,0.034974199930444
173,FID,FYC,0,0.25407729514549393,0.025431105344336537
172,FID,FTXR,0,0.547780978782181,0.005709209786929199
189,FID,VONG,0,0.2330451419175619,0.04322560217362944
190,FID,VTHR,0,0.08388942040381006,0.048654113303399346
191,FID,VTWO,0,0.20324055019473267,0.029059748769504158
192,FID,VTWV,0,0.1247642645026865,0.005164793075661577
211,FTC,RTH,0,0.6044672479231342,0.04615575906800696
210,FTC,ONEQ,0,1.9738164919768717,0.03957439968470127
209,FTC,NZAC,0,3.4677768521806387,0.018072062078792504
208,FTC,IUSG,0,1.0658503447144467,0.007968483376681174
207,FTA,PPH,0,0.8465378925874645,0.048023880064809635
206,FTA,INDY,0,1.4399097310864255,0.0007370695257299545
205,FSZ,VXUS,0,1.036085543819636,0.04502054892945448
204,FSZ,VTWO,0,0.7578250120588061,0.04576806436527272
255,FV,RTH,0,0.2720440882485407,0.013513578620930817
203,FSZ,FTXR,0,2.036966435470756,0.03736889854513886
201,FNY,VIGI,0,0.8473481047284267,0.004719181810831235
200,FNY,JSMD,0,1.0561022004101546,0.018278349680521482
199,FNX,RDVY,0,2.07635291599016,0.020977571257418767
198,FNX,PKW,0,1.067860039185806,0.011376467166508215
197,FNX,INDY,0,2.0618756697933796,0.0003433919476046149
196,FNX,FV,0,2.0244784323491762,0.04704975013310666
195,FNK,INDY,0,0.97795361073394,3.011118405911139e-05
193,FKU,SMCP,0,1.2277771356723772,0.009970718458252002
202,FPXI,IBB,0,0.3469074278395949,0.033819406217106544
171,FID,FTC,0,0.15618302538077686,0.03861503297200894
256,FV,VONV,0,0.6753785807727487,0.04032809766160266
258,FVC,PEY,0,1.8223503515832475,0.039409599418086694
331,PRFZ,PSL,0,0.3866144882752558,0.04027724244137839
330,PRFZ,PSC,0,0.8095537854767862,2.7696814251753348e-06
329,PKW,VONV,0,1.282714525998017,0.005532132415755637
328,PIO,VIGI,0,0.4770254855523507,0.0117356525827661
327,PIO,SNSR,0,1.1549665563492373,0.04907665792116787
326,PIO,QQQE,0,0.4976621816993339,0.047983701095799206
325,PIO,QQEW,0,0.35650391629463085,0.03765299884950941
324,PIE,SCZ,0,0.3245776375379795,0.0020017196639623355
323,PIE,RFEU,0,0.32633232194855794,0.038460783465633176
318,NZAC,PSL,0,0.33066689025494594,0.04260912011143116
317,NZAC,ONEQ,0,0.5653126572693287,0.010581279984324352
316,MDIV,QVAL,0,0.4205905599543416,0.024437013236117217
315,KBWD,VTWV,0,0.11161324363835526,0.03608501995924027
314,KBWD,VTHR,0,0.07492462035665906,0.03438490948986925
313,KBWD,VONV,0,0.21250830275819604,0.036069841167756245
312,KBWD,SMCP,0,0.4881376256365685,0.04368728789782586
311,KBWD,RDVY,0,0.31749350822928135,0.0316442455068826
332,PRN,TDIV,0,1.8665664359433416,0.0011644158486888382
310,KBWD,QVAL,0,0.4043455660674114,0.047843754548238526
333,PRN,VONG,0,1.5321313041750892,0.035769572185332665
335,PSET,RDVY,0,1.1872882726702438,0.02923171504512442
356,TDIV,VONE,0,0.2859853423792876,0.042197861484459344
355,SRET,XT,0,0.4543148149087416,0.01918361405798991
354,SRET,VTHR,0,0.13016829439276578,0.0354215038834631
353,SRET,VONV,0,0.37513220138805004,0.041482447187271614
352,SRET,VONG,0,0.35611420773231944,0.037972238597146546
351,SRET,VONE,0,0.12796480642178804,0.03511230361633963
350,SRET,VIGI,0,0.3356447333836134,0.02824580908025351
349,SRET,TDIV,0,0.44329029102580203,0.04648618672117331
344,RFEM,SMCP,0,2.105028810962328,0.04680237246209855
343,RFDI,SMCP,0,2.079216051560852,0.024922612010760466
342,RDVY,VONV,0,0.6584142990372736,0.04668540432839664
341,QYLD,VONG,0,0.22690123746512278,0.029359497226715305
340,QYLD,TDIV,0,0.27819345362054376,0.04253211556243413
339,QQQE,VIGI,0,0.9493752092312887,0.014866375549908443
338,QQEW,VIGI,0,1.3262863864656942,0.016754458379838067
337,PTNQ,QYLD,0,3.5564164906657902,0.0473160882082899
